iteration,learning_rate,n_estimators,max_depth,min_child_weight,subsample,reg_alpha,reg_lambda,colsample_bynode,colsample_bytree,num_parallel_tree,max_delta_step,score
0.0,0.15564863585765562,61.0,5.0,0.1988464746156065,0.3874917227347693,0.9835573970687591,0.6822823152692489,0.14131419825575942,0.28461109426904535,3.0,4.0,0.010951004740876407
0.0,0.14434567592903735,68.0,5.0,0.2945893779948472,0.5173316656300486,0.23367823783504105,0.806699623648447,0.7062755010551219,0.5663716300483594,5.0,0.0,0.002549214295943426
0.0,0.23603947750414647,1239.0,6.0,0.4605081063821946,0.333152838708882,0.729685154271894,0.8096637782335708,0.03204188759137334,0.016335993113503755,3.0,0.0,0.039564065135224195
0.0,0.03343533670093433,2005.0,4.0,0.10243895861523743,0.4627886258091422,0.8087668160688904,0.2397427543945259,0.8861390006196562,0.5342978875575262,3.0,3.0,0.006261371974604276
0.0,0.11413593301394659,56.0,6.0,0.12599614938287246,0.2643138785612305,0.8250276359440913,0.9092548015925508,0.5726135964772839,0.7170192978308025,5.0,5.0,0.0037057541971775645
0.0,0.009540823915062042,108.0,6.0,1.1248336896718292,0.7529916677593274,0.8707648752517029,0.02342600096300415,0.27356797618825485,0.5886973280779152,1.0,4.0,0.040024676399907574
0.0,0.001030233756110747,948.0,6.0,0.639251859739122,0.3992438051401066,0.4197134881016909,0.28765812863610296,0.00791482932504016,0.060815190721045256,1.0,4.0,0.3632184838676331
0.0,0.0069452447405611685,1211.0,6.0,1.4739373339906008,0.9548640468954318,0.05417863019570854,0.6896811542283741,0.4156630501433509,0.5753087994557674,4.0,0.0,0.0021853597641309118
0.0,0.011391445560694649,204.0,3.0,1.073896933274771,0.2421860217347867,0.13902777283179046,0.1527929405693807,0.4585779466189419,0.9795883658573534,3.0,1.0,0.012476882490660323
0.0,0.005751287084148166,1399.0,3.0,0.13151813464706916,0.17176970337953656,0.871937504660136,0.6624125779418456,0.22257624377711882,0.9420351115785989,2.0,3.0,0.006498648885275299
0.0,0.007627230578132917,568.0,5.0,0.10382356576810117,0.4314202309415142,0.5085251079344346,0.14408386387879152,0.514435441387417,0.34502729352804046,2.0,0.0,0.0030999025227825077
0.0,0.002024408844238404,862.0,6.0,0.2187477223041615,0.5805542792577125,0.0053635573704029944,0.10749568485860482,0.03789426952337885,0.6967715775913089,2.0,4.0,0.16171390295056895
0.0,0.03626825365757215,1028.0,6.0,0.35844171349563697,0.7298022358401681,0.37564827685435126,0.3297936898412649,0.5981399342538913,0.27798110369458273,2.0,3.0,0.004066689600840211
0.0,0.14796492022032726,115.0,4.0,0.292473556210749,0.11440450414741477,0.7860887223456332,0.5591975766722387,0.5176533937082008,0.9479326529880175,3.0,4.0,0.009122879496840186
0.0,0.05190115656079329,76.0,5.0,1.0134858548570866,0.5218598287492311,0.5890497269796603,0.20470193347636548,0.7930170003283028,0.3505157557841255,3.0,2.0,0.003068993953766109
0.0,0.08971191361905842,328.0,6.0,0.45767017317561287,0.9234760194149212,0.24868162860669518,0.8990584659960277,0.268546871161481,0.08860396045874216,3.0,2.0,0.009339763528136572
0.0,0.01263922361622159,65.0,3.0,0.7748007670060387,0.1083439245731345,0.0672291813502058,0.8219305886944914,0.0013153018446215694,0.9857480122599692,5.0,5.0,0.49836225498852316
0.0,0.21230515435440134,1846.0,6.0,0.2842092494893257,0.6679546441054305,0.8464995082275483,0.023187163504015455,0.7440837529650489,0.8907912558320052,1.0,0.0,0.018936812797298266
0.0,0.11414433493006808,88.0,5.0,0.12294955116025055,0.7289124727817892,0.9580337487884223,0.36582564321305266,0.768700473328791,0.4694971143957487,4.0,1.0,0.0023595211884806467
0.0,0.08188824865247467,257.0,6.0,0.22083098854977273,0.40320887751715145,0.5010599518871471,0.04565754708531655,0.3114381066832799,0.3874468395271853,2.0,0.0,0.00604715219276207
0.0,0.07512913664986053,168.0,6.0,0.5603047206554376,0.5575603125572117,0.30145840649372674,0.31607445465879946,0.3710833864570631,0.8807067635435911,2.0,5.0,0.004605040436814301
0.0,0.08293932299402415,1212.0,6.0,0.1425058058473649,0.5013273754827474,0.7171160530228349,0.9278553317573581,0.02407251850873456,0.6088304218197481,2.0,2.0,0.01456964141625985
0.0,0.0011459457221666565,1381.0,6.0,0.9909250840007117,0.42632436823631165,0.823939286310127,0.8115104447410668,0.01742848846883207,0.8953237061115271,3.0,2.0,0.16589145952321716
0.0,0.0011947271505712664,1456.0,6.0,0.2946092109459864,0.8181351902012663,0.93302902015421,0.6792091108334474,0.5575396867548361,0.23350309501074776,5.0,5.0,0.0056444711041489185
0.0,0.06260698490250186,565.0,3.0,0.11416396224194426,0.4582685909372592,0.49465261660408805,0.6933501739809528,0.8385444787668713,0.7880251598751759,4.0,5.0,0.0037245939489880396
0.0,0.0483142801872873,280.0,3.0,0.4976960841894036,0.22657844290528384,0.321066364729917,0.19405827158181463,0.9461950038415602,0.5546036633150248,5.0,4.0,0.0034761749715438725
0.0,0.08083670293693437,1277.0,4.0,0.5144105611200823,0.010795122875109055,0.5040907783798995,0.6574900501375287,0.8257518815487608,0.8590187946877316,1.0,5.0,0.1250667172770798
0.0,0.0846300751753608,685.0,5.0,0.3854641895495044,0.38838638240358403,0.11476931266622807,0.035421929844078395,0.39185388379742003,0.24031829547555938,3.0,1.0,0.008504894057154915
0.0,0.02540452651131653,289.0,5.0,2.1058973149979843,0.6726710105203841,0.059789701808507,0.2711366072771003,0.16970791092379842,0.5792199773439932,2.0,0.0,0.004226020491551899
0.0,0.027010826278707507,1460.0,4.0,0.37309660996878735,0.9867057668061442,0.34075600937958084,0.9359970918062515,0.5575159076126199,0.6841553930564658,5.0,4.0,0.0038840308823546187
0.0,0.2237869718200974,2193.0,4.0,0.12173430405246227,0.9375411853987304,0.776589510523203,0.8370620536419472,0.5624305656996422,0.6090511870128376,1.0,3.0,0.018381572132864333
0.0,0.0023574094587022667,836.0,4.0,0.758095479777788,0.0353976280378699,0.306859074485635,0.19221048845540845,0.3197189637234817,0.09270710054304455,3.0,0.0,0.244483353812102
0.0,0.020699198908694535,1887.0,3.0,0.11074578796293938,0.23673937496973171,0.4522955942336284,0.2127191185019755,0.9138690018103162,0.4862067802425881,4.0,3.0,0.003910170756075846
0.0,0.1026180361367521,185.0,5.0,1.4893479218849415,0.4748056170513597,0.9156609572310567,0.8002497955083268,0.2546547561984409,0.2959154163080215,4.0,3.0,0.004119040629890803
0.0,0.08587011108427992,67.0,5.0,0.2877769862333815,0.07677774388435622,0.7531607464605395,0.8803101007729407,0.8229586714991463,0.29970218933864695,3.0,0.0,0.006256338865709759
0.0,0.06384583386472033,144.0,5.0,0.47402032547976997,0.6716558191623765,0.16163870909632147,0.3925970168346448,0.47846590295323776,0.7966369112893625,4.0,0.0,0.002750221654884153
0.0,0.006631767918844717,473.0,4.0,0.7483886967565352,0.5934925318273508,0.23655845122363955,0.056655871916253986,0.24810912522476664,0.5604559552163286,3.0,5.0,0.0079572401528181
0.0,0.0013097130646033634,942.0,4.0,0.1364579490001818,0.12273779198606055,0.16935356980652982,0.6290673016330757,0.6808879797145041,0.6605710364243208,4.0,5.0,0.08084459805077122
0.0,0.006233169390553103,1379.0,4.0,0.40980825594056597,0.5702053070753744,0.31419927550903076,0.4928014633413328,0.023057389053134293,0.14782346971552016,5.0,5.0,0.09183073956604133
0.0,0.07465401366638638,423.0,6.0,2.1545898180749163,0.5997830395280624,0.2507318415378894,0.297118849648719,0.0024685853039315233,0.09173578528626555,4.0,4.0,0.009007139620812208
0.0,0.018753345498538403,969.0,4.0,0.15893898008560295,0.04154821048461987,0.006433132233643923,0.9177524628969652,0.4935265969679784,0.42014247535467525,3.0,3.0,0.007304969060437415
0.0,0.05315538374866547,1045.0,6.0,0.3636627399386963,0.2973085141810438,0.2465695788414528,0.7784279365115199,0.9706288177380085,0.5461506655774829,4.0,0.0,0.008868644878491616
0.0,0.026853810860394386,664.0,5.0,0.23552303946487144,0.7594490768334841,0.9442977798675775,0.8942849168971821,0.30270688406300755,0.051652931590897413,3.0,2.0,0.014025363960964602
0.0,0.0031175558600650944,677.0,5.0,1.168579544397231,0.235351009637259,0.6368969544637206,0.2682848138751693,0.7056526667418309,0.38392174670425927,2.0,0.0,0.005240082734604476
0.0,0.015085831949066663,414.0,5.0,1.408956590288158,0.2977837584029081,0.26454040641944526,0.4010135753809175,0.06136926105392065,0.46658504510764653,3.0,4.0,0.03172754909791229
